,Echantillon,Type,Value,Depth_cm
14,A2,C,91.61599021146837,0.14
15,A2,C,82.90888724182746,0.15
16,A2,C,74.41561403033324,0.16
17,A2,C,66.15856253597129,0.17
18,A2,C,58.154974895730994,0.18
19,A2,C,50.42665964861544,0.19
20,A2,C,43.00370822279316,0.2
21,A2,C,35.974297243067376,0.21
22,A2,C,29.430440415630944,0.22
23,A2,C,23.44389502137161,0.23
24,A2,C,18.078474556607155,0.24
25,A2,C,13.401283107670928,0.25
26,A2,C,9.481193888943269,0.26
27,A2,C,6.381463741983741,0.27
28,A2,C,4.112277961038596,0.28
29,A2,C,2.682154312967052,0.29
30,A2,C,1.840564859444409,0.3
31,A2,C,1.2293377156807215,0.31
32,A2,C,0.6157640412776201,0.32
33,A2,C,0.0,0.33
0,C1,Db,0.0,
1,C1,SSE,0.007906411160852302,
2,C1,R_int,-0.02388428121955184,
3,C1,r^2,0.9921522868361188,
0,C1,R,0.0,0.0
1,C1,R,-0.07742225419144982,0.023571428571428573
2,C1,R,-0.0774222526998631,0.047142857142857146
3,C1,R,-0.0769435414189851,0.07071428571428572
4,C1,R,-0.06801375566911846,0.09428571428571429
5,C1,R,-0.059845415409941205,0.11785714285714287
6,C1,R,-0.06050729341602693,0.14142857142857143
7,C1,R,-0.054538266171916656,0.165
8,C1,R,-0.04726138556734047,0.18857142857142858
9,C1,R,-0.04691747777726911,0.21214285714285716
10,C1,R,-0.06138296182811787,0.23571428571428574
11,C1,R,-0.0735481765673237,0.2592857142857143
12,C1,R,-0.03926374611314919,0.28285714285714286
13,C1,R,0.0,0.30642857142857144
14,C1,R,0.0,0.33
0,C1,C,229.0228749695703,0.0
1,C1,C,218.69859591732487,0.01
2,C1,C,207.93106264882059,0.02
3,C1,C,196.93912734679125,0.03
4,C1,C,185.87870339272405,0.04
5,C1,C,174.82376506483618,0.05
6,C1,C,163.82908486732867,0.06
7,C1,C,152.96519150737686,0.07
8,C1,C,142.2991105741612,0.08
9,C1,C,131.8613138220576,0.09
10,C1,C,121.68277807921658,0.1
11,C1,C,111.78849547255666,0.11
12,C1,C,102.18988672163971,0.12
13,C1,C,92.902864563889,0.13
14,C1,C,83.9661134815312,0.14
15,C1,C,75.41321318608227,0.15
16,C1,C,67.27059764711319,0.16
17,C1,C,59.545905585818275,0.17
18,C1,C,52.23852313539043,0.18
19,C1,C,45.34344708181,0.19
20,C1,C,38.851988835339206,0.2
21,C1,C,32.76613682277431,0.21
22,C1,C,27.101010310697664,0.22
23,C1,C,21.878857123458523,0.23
24,C1,C,17.17349674648355,0.24
25,C1,C,13.060481742307744,0.25
26,C1,C,9.607911810459193,0.26
27,C1,C,6.8798198385593885,0.27
28,C1,C,4.882030014399932,0.28
29,C1,C,3.4714910639981835,0.29
30,C1,C,2.5015883640649323,0.3
